CustomerID,TypeService,TypeClient,Province,Ville,Quartier,Mois,IndexPrecedent,IndexActuel,Consommation,MontantFacture,StatutPaiement,AnomalyScore,SuspectFlag,TypeSuspect,Date,TypeService_label,TypeClient_label,Province_label,StatutPaiement_label,TypeService_enc,TypeClient_enc,Province_enc,Ville_enc,Quartier_enc,StatutPaiement_enc,IndexPrecedent_std,IndexActuel_std,Consommation_std,MontantFacture_std,AnomalyScore_std,Annee,Mois_num,Trimestre,Saison,Is_Ete,Is_Hiver,Is_Ramadan,Is_Aid,Conso_Precedente,Conso_Moyenne_Client,Taux_Evolution,Ecart_Moyenne_Client
C000000,Électricité,Particulier,Khémisset,Khémisset,Khémisset,2017-02,26058.67,26138.09,79.42000000000189,141.53,En retard,0.2459,0,Aucune,2017-02-01,Électricité,Particulier,Khémisset,En retard,1,3,0,6,18,0,-1.3092718251942719,-1.3081592262643267,-0.5510090801136779,-0.8984243207961865,0.343436932953447,2017,2,1,Hiver,0,1,0,0,79.42000000000189,127.13366666666678,0.0,-0.3753031586178184
C000000,Électricité,Particulier,Khémisset,Khémisset,Khémisset,2017-03,26138.09,26233.67,95.57999999999811,165.81,Payé,0.1267,0,Aucune,2017-03-01,Électricité,Particulier,Khémisset,Payé,1,3,0,6,18,2,-1.3078783327575119,-1.3064875541488636,-0.4529712395116686,-0.7723141528099886,-0.47535030704197323,2017,3,1,Printemps,0,0,0,0,79.42000000000189,127.13366666666678,20.34751951648934,-0.24819284689868654
C000000,Électricité,Particulier,Khémisset,Khémisset,Khémisset,2017-04,26233.67,26351.41,117.7400000000016,162.07,En retard,0.1725,0,Aucune,2017-04-01,Électricité,Particulier,Khémisset,En retard,1,3,0,6,18,0,-1.306201299175221,-1.3044283087536486,-0.3185332105672765,-0.7917396893943536,-0.16074916952695453,2017,4,2,Printemps,0,0,0,0,95.57999999999811,127.13366666666678,23.18476668759566,-0.07388811251149191
C000000,Électricité,Particulier,Khémisset,Khémisset,Khémisset,2017-05,26351.41,26494.21,142.79999999999927,192.72,Impayé,0.1473,0,Aucune,2017-05-01,Électricité,Particulier,Khémisset,Impayé,1,3,0,6,18,1,-1.3041354492696033,-1.3019307697487508,-0.16650175725745606,-0.6325437812898657,-0.3338484853649125,2017,5,2,Printemps,0,0,1,0,117.7400000000016,127.13366666666678,21.2841854934579,0.12322725949852628
C000000,Électricité,Particulier,Khémisset,Khémisset,Khémisset,2017-06,26494.21,26648.84,154.63000000000102,221.58,Payé,0.0356,0,Aucune,2017-06-01,Électricité,Particulier,Khémisset,Payé,1,3,0,6,18,2,-1.301629900038058,-1.2992263267772706,-0.09473271924246768,-0.48264512197842946,-1.101118071837131,2017,6,2,Été,1,0,0,1,142.79999999999927,127.13366666666678,8.284313725491462,0.21627892952562427
C000000,Électricité,Particulier,Khémisset,Khémisset,Khémisset,2017-07,97717.56,26849.51,200.66,272.77,Payé,0.1262,0,Aucune,2017-07-01,Électricité,Particulier,Khémisset,Payé,1,3,0,6,18,2,-0.051954760958198946,-1.2957166548437071,0.18451739232383443,-0.21676458247210875,-0.47878481727685335,2017,7,3,Été,1,0,0,0,154.63000000000102,127.13366666666678,29.767832891417367,0.5783388087603322
C000000,Électricité,Particulier,Khémisset,Khémisset,Khémisset,2017-08,26849.51,27006.91,157.40000000000146,208.62,Payé,0.0495,0,Aucune,2017-08-01,Électricité,Particulier,Khémisset,Payé,1,3,0,6,18,2,-1.295395854926236,-1.2929637652122576,-0.07792796562441866,-0.5499592808376191,-1.0056386873074636,2017,8,3,Été,1,0,0,0,200.66,127.13366666666678,-21.558855775938675,0.2380670213240236
C000000,Électricité,Particulier,Khémisset,Khémisset,Khémisset,2017-09,27006.91,27174.72,167.8100000000013,217.06,Payé,0.1531,0,Aucune,2017-09-01,Électricité,Particulier,Khémisset,Payé,1,3,0,6,18,2,-1.2926341360953866,-1.2900288070861239,-0.014773638850461918,-0.5061219736793197,-0.29400816664030294,2017,9,3,Automne,0,0,0,0,157.40000000000146,127.13366666666678,6.613722998729199,0.3199493446530121
C000000,Électricité,Particulier,Khémisset,Khémisset,Shoul,2017-10,27174.72,27324.62,149.89999999999782,199.24,Payé,0.1249,0,Aucune,2017-10-01,Électricité,Particulier,Khémisset,Payé,1,3,0,6,32,2,-1.2896897648310612,-1.2874070907217388,-0.1234282010523641,-0.5986789421107054,-0.4877145438875417,2017,10,4,Automne,0,0,0,0,167.8100000000013,127.13366666666678,-10.672784696980724,0.17907399298898807
C000000,Électricité,Particulier,Khémisset,Khémisset,Khémisset,2017-11,27324.62,27435.26,110.63999999999942,177.62,Payé,0.1106,0,Aucune,2017-11-01,Électricité,Particulier,Khémisset,Payé,1,3,0,6,18,2,-1.2870596399724572,-1.285472022686011,-0.36160676677239056,-0.7109730867508043,-0.5859415366051131,2017,11,4,Automne,0,0,0,0,149.89999999999782,127.13366666666678,-26.190793862574363,-0.1297348460019823
