CustomerID,Cluster,Profil,PC1,PC2
C000000,1,Petits consommateurs,-0.49120700017895114,0.35700365193440897
C000001,1,Petits consommateurs,-1.7323038617866493,-0.6976989085939501
C000002,1,Petits consommateurs,-2.1211636878911513,-0.1659395329749101
C000003,2,Clients résidentiels,0.8854410899230154,1.6447685421723692
C000004,2,Clients résidentiels,-0.7684553294554208,0.8342416527335715
C000005,2,Clients résidentiels,1.0144382126367693,0.9230111794271003
C000006,1,Petits consommateurs,-1.6682077037268284,-0.4010877641322321
C000007,0,Gros consommateurs,4.6666722085927645,-2.763023867531268
C000008,1,Petits consommateurs,-1.567166298302083,-1.302360553677821
C000009,2,Clients résidentiels,2.8943417856212896,1.3031325439861572
C000010,2,Clients résidentiels,1.6974645107310753,2.7297670089208426
C000011,2,Clients résidentiels,-0.1110754474079678,1.126292623120925
C000012,2,Clients résidentiels,0.25451744262526105,0.1039992583450872
C000013,3,Clients potentiellement à risque,-1.527221695714717,3.3360545892483744
C000014,1,Petits consommateurs,-1.4792001791929146,-1.7384251592129114
C000015,2,Clients résidentiels,1.693104706327949,1.2567379716375677
C000016,2,Clients résidentiels,0.4614695669123879,0.1589087932926314
C000017,1,Petits consommateurs,-1.7129630086350294,-0.5681220370591202
C000018,1,Petits consommateurs,-1.8637787815484361,-0.5550409020667837
C000019,1,Petits consommateurs,-1.8303557355130757,-0.4603968197511841
C000020,1,Petits consommateurs,-1.8485087319221412,-0.12362680310191611
C000021,2,Clients résidentiels,0.7842412058195435,1.161596264157919
C000022,2,Clients résidentiels,0.8221512114441756,2.3029981017273684
C000023,1,Petits consommateurs,-1.6922896871376911,-0.40115091956167875
C000024,1,Petits consommateurs,-1.6611185597484017,1.1260312117526892
C000025,0,Gros consommateurs,3.4044185928880504,0.33727483164278305
C000026,0,Gros consommateurs,4.231710448780024,-1.9104449226801572
C000027,2,Clients résidentiels,0.6800265156344375,1.0899918998519793
C000028,1,Petits consommateurs,-1.5121161028399086,-0.8894568115424292
C000029,1,Petits consommateurs,-0.6183795408025539,0.21779074836289358
C000030,2,Clients résidentiels,-0.2536313259189999,-0.03654046084585785
C000031,2,Clients résidentiels,0.9769561051793298,-0.30969155782766916
C000032,2,Clients résidentiels,1.8955716976765147,0.21744757849089763
C000033,1,Petits consommateurs,-1.6592376056855282,-1.0493035034163303
C000034,1,Petits consommateurs,-2.0970242090470914,-0.5389776882526951
C000035,2,Clients résidentiels,1.1932218251176754,0.7442677595017595
C000036,2,Clients résidentiels,1.3207964869826347,0.44853674035218966
C000037,2,Clients résidentiels,-0.5756112407027407,0.9126543636675236
C000038,1,Petits consommateurs,-1.8895125814726528,0.0018148845176878346
C000039,2,Clients résidentiels,0.19719473469385854,-0.3597190685682257
C000040,1,Petits consommateurs,-1.6913469759506232,-1.1871845869792703
C000041,1,Petits consommateurs,-0.522374768691986,0.27446893542095824
C000042,1,Petits consommateurs,-1.6389973496292203,-0.6756414569007921
C000043,1,Petits consommateurs,-1.5731713340635802,-1.328089877656557
C000044,2,Clients résidentiels,1.0198920310018416,1.3018723036969206
C000045,2,Clients résidentiels,1.3382813899793506,1.2192316692024627
C000046,1,Petits consommateurs,-1.5808503933931535,-1.1262595139216984
