iter	Logloss
0	0.6107193434
1	0.5612716845
2	0.5175370236
3	0.4780412091
4	0.4542892989
5	0.4341754746
6	0.4158881192
7	0.3906018701
8	0.3758891813
9	0.3632803711
10	0.3494091874
11	0.341887085
12	0.3364627729
13	0.3265781494
14	0.3198620698
15	0.3089669355
16	0.304788972
17	0.296529901
18	0.2893668222
19	0.2829573084
20	0.2781665201
21	0.2692609105
22	0.2638818522
23	0.259642949
24	0.2522212956
25	0.2480123562
26	0.2447995462
27	0.2386108696
28	0.2348348679
29	0.2314704603
30	0.2265372918
31	0.2233228158
32	0.2210026412
33	0.21920934
34	0.2168692395
35	0.214967244
36	0.21197609
37	0.2056337697
38	0.2042563838
39	0.201660797
40	0.1970969077
41	0.1937878791
42	0.1914292011
43	0.1876815762
44	0.1861256054
45	0.1819646968
46	0.180780739
47	0.1785699218
48	0.1756827745
49	0.1742450909
50	0.1722259797
51	0.1708026518
52	0.1684818452
53	0.1670678681
54	0.1653993134
55	0.1632961321
56	0.16152009
57	0.1590763237
58	0.1562817206
59	0.1547379949
60	0.1540664079
61	0.1530219667
62	0.1512074989
63	0.1501092542
64	0.1474417064
65	0.146236268
66	0.1449088247
67	0.14394217
68	0.1428853951
69	0.1416514448
70	0.1404057698
71	0.1393048468
72	0.1379114448
73	0.1365831486
74	0.1347417734
75	0.1341435875
76	0.1320924144
77	0.1296326477
78	0.1288644832
79	0.1276127054
80	0.1266570984
81	0.1248081411
82	0.1232275198
83	0.1215966232
84	0.1207575656
85	0.1193662874
86	0.1183064583
87	0.1174169708
88	0.1165361855
89	0.1153368272
90	0.1150114384
91	0.1135765524
92	0.1128509808
93	0.1122148992
94	0.1111141244
95	0.1101881561
96	0.1092144041
97	0.1082389539
98	0.107226996
99	0.1058962589
100	0.1051566353
101	0.1042319826
102	0.102821431
103	0.1020405576
104	0.1013844707
105	0.09981150643
106	0.0987122923
107	0.09769205346
108	0.0960775745
109	0.09413561473
110	0.09347973515
111	0.09128269177
112	0.08994331944
113	0.08779664603
114	0.08679006576
115	0.08594355444
116	0.08536694436
117	0.08469297729
118	0.08347203636
119	0.08256149752
120	0.08151909048
121	0.0803017155
122	0.0794527511
123	0.07851141261
124	0.07740097258
125	0.07648583067
126	0.07569313177
127	0.0752982596
128	0.07357892663
129	0.07256721744
130	0.07196661486
131	0.07098578532
132	0.06981386576
133	0.06862273219
134	0.06785208545
135	0.06737172421
136	0.06644090518
137	0.06490326287
138	0.06422200587
139	0.0634281128
140	0.06299006902
141	0.06242533852
142	0.06155318075
143	0.06087062048
144	0.06022946259
145	0.05945205693
146	0.05889540029
147	0.05834453244
148	0.05764291616
149	0.05718715498
150	0.05689637284
151	0.05656411485
152	0.05628410425
153	0.0557361808
154	0.05536965723
155	0.05472549764
156	0.0541232113
157	0.05353884207
158	0.05314849883
159	0.05285564725
160	0.05248615035
161	0.05148511313
162	0.0511404311
163	0.05044312714
164	0.05009277354
165	0.04975697027
166	0.04891462531
167	0.04848458167
168	0.04822630853
169	0.04797770348
170	0.04734561383
171	0.04707287772
172	0.0466310385
173	0.04636485637
174	0.04609394034
175	0.0459054881
176	0.04568634883
177	0.04544707131
178	0.04518506127
179	0.04492043083
180	0.04438072212
181	0.04387824601
182	0.04365489606
183	0.04304812674
184	0.04271382618
185	0.04255526721
186	0.042328685
187	0.04177614046
188	0.04131499673
189	0.04101722
190	0.04078793083
191	0.0405371039
192	0.04028955181
193	0.04010650732
194	0.03992218814
195	0.03970941335
196	0.03955690781
197	0.03929838656
198	0.03896286618
199	0.03861730879
200	0.03841033515
201	0.03814813673
202	0.03784883971
203	0.03755988424
204	0.03738530292
205	0.03723510999
206	0.03686200402
207	0.03657163216
208	0.03626246486
209	0.03604753525
210	0.03570189605
211	0.0353268202
212	0.03495667738
213	0.03470202526
214	0.03434827988
215	0.03412492491
216	0.033918199
217	0.0337941549
218	0.03368142944
219	0.03357031016
220	0.03333714386
221	0.03309242183
222	0.03284545115
223	0.032736276
224	0.03254479323
225	0.03236230833
226	0.03226779951
227	0.03210205373
228	0.03178056164
229	0.03146520433
230	0.031359516
231	0.03125605751
232	0.03103146823
233	0.0308698836
234	0.03070841464
235	0.03061962288
236	0.03046535525
237	0.03037508377
238	0.0299481566
239	0.02978607712
240	0.02946214569
241	0.02932278058
242	0.02909243113
243	0.02898783606
244	0.0287426767
245	0.02855651673
246	0.02830080738
247	0.0281653409
248	0.0279609964
249	0.02778892117
250	0.02769564895
251	0.02752494263
252	0.0274377916
253	0.02730020525
254	0.02722535325
255	0.02708995769
256	0.0270186116
257	0.02693859988
258	0.02672118053
259	0.02659433607
260	0.02650195992
261	0.02636456242
262	0.02628631919
263	0.02618293473
264	0.02605208725
265	0.02595551982
266	0.02576363474
267	0.02553126855
268	0.02538986658
269	0.02526145402
270	0.0252009557
271	0.02508755974
272	0.02490566779
273	0.02474915228
274	0.02469507603
275	0.02459377205
276	0.02449694682
277	0.02442063248
278	0.02420019134
279	0.02412892124
280	0.02396502731
281	0.02375813144
282	0.02355891942
283	0.02343104673
284	0.02329397016
285	0.02309712799
286	0.02300712238
287	0.02294760616
288	0.0228366742
289	0.02270475454
290	0.02259348299
291	0.02244411207
292	0.02235228663
293	0.02225025215
294	0.02214972861
295	0.02209022772
296	0.02203815676
297	0.02185188288
298	0.02172261704
299	0.02162466087
